,Compound no.,SMILES,Macrocycle_Ring_Size,Macrocycle_Free_Amide_Count,Macrocycle_Substituted_Amide_Count,Macrocycle_Overall_Amide_Count,Macrocycle_Core_smiles,Macrocycle_Peripheral_smiles,Macrocycle_Free_Amide_Ratio,Macrocycle_Overall_Amide_Ratio
62,63,O=C1N[C@@H](C(N(C)C)=O)CSCC(C(C2=CC(C(O)=O)=CC=C2)=CC=C3)=C3C(OC[C@H]1NC([C@@H]4CCCN4C(C)=O)=O)=O,12,1,0,1,C1=CCSCCNCCCOC1,CC1CSCc2c(cccc2-c2ccccc2)C(=O)OCCC(=O)N1,0.25,0.25
63,64,O=C1N[C@@H](C(N(C)C)=O)CSCC(C(C2=CC=C(C(O)=O)C=C2)=CC=C3)=C3C(OC[C@H]1NC([C@@H]4CCCN4C(C)=O)=O)=O,12,1,0,1,C1=CCSCCNCCCOC1,Cc1ccc(-c2cccc3c2CSCC(C)NC(=O)CCOC3=O)cc1,0.25,0.25
64,65,O=C1N[C@@H](C(N(C)C)=O)CSCC(C(C2=CC=C(C(OC)=O)C=C2)=CC=C3)=C3C(OC[C@H]1NC([C@@H]4CCCN4C(C)=O)=O)=O,12,1,0,1,C1=CCSCCNCCCOC1,Cc1ccc(-c2cccc3c2CSCC(C)NC(=O)CCOC3=O)cc1,0.25,0.25
65,66,O=C(O)CC1=CC=C(C2=CC=CC(C(OC[C@H]3NC([C@@H]4CCCN4C(C)=O)=O)=O)=C2CSC[C@H](C(N(C)C)=O)NC3=O)C=C1,12,1,0,1,C1=CCSCCNCCCOC1,Cc1ccc(-c2cccc3c2CSCC(C)NC(=O)CCOC3=O)cc1,0.25,0.25
66,67,O=C1N[C@@H](C(N(C)C)=O)CSCC(C(C2=CC=C(C(O)=O)S2)=CC=C3)=C3C(OC[C@H]1NC([C@@H]4CCCN4C(C)=O)=O)=O,12,1,0,1,C1=CCSCCNCCCOC1,CC=CC=Cc1cccc2c1CSCC(C)NC(=O)CCOC2=O,0.25,0.25
67,68,O=C1N[C@@H](C(N(C)C)=O)CSCC(C(C2=CC=C(C3=NN=NN3)C=C2)=CC=C4)=C4C(OC[C@H]1NC([C@@H]5CCCN5C(C)=O)=O)=O,12,1,0,1,C1=CCSCCNCCCOC1,Cc1ccc(-c2cccc3c2CSCC(C)NC(=O)CCOC3=O)cc1,0.25,0.25
68,69,O=C1N[C@@H](C(N(C)C)=O)CSCC(C(C2=CC=C([N+]([O-])=O)C=C2)=CC=C3)=C3C(OC[C@H]1NC([C@@H]4CCCN4C(C)=O)=O)=O,12,1,0,1,C1=CCSCCNCCCOC1,CC1CSCc2c(cccc2-c2ccccc2)C(=O)OCCC(=O)N1,0.25,0.25
69,70,O=S(C1=CC=C(C2=CC=CC(C(OC[C@H]3NC([C@@H]4CCCN4C(C)=O)=O)=O)=C2CSC[C@H](C(N(C)C)=O)NC3=O)C=C1)(C)=O,12,1,0,1,C1=CCSCCNCCCOC1,CC1CSCc2c(cccc2-c2ccc(S)cc2)C(=O)OCCC(=O)N1,0.25,0.25
70,71,O=C(C)C1=CC=C(C2=CC=CC(C(OC[C@H]3NC([C@@H]4CCCN4C(C)=O)=O)=O)=C2CSC[C@H](C(N(C)C)=O)NC3=O)C=C1,12,1,0,1,C1=CCSCCNCCCOC1,Cc1ccc(-c2cccc3c2CSCC(C)NC(=O)CCOC3=O)cc1,0.25,0.25
71,72,CC1=C(C(O)=O)C=CC(C2=CC=CC(C(OC[C@H]3NC([C@@H]4CCCN4C(C)=O)=O)=O)=C2CSC[C@H](C(N(C)C)=O)NC3=O)=C1,12,1,0,1,C1=CCSCCNCCCOC1,Cc1ccc(-c2cccc3c2CSCC(C)NC(=O)CCOC3=O)cc1C,0.25,0.25
72,73,COC1=C(C(O)=O)C=CC(C2=CC=CC(C(OC[C@H]3NC([C@@H]4CCCN4C(C)=O)=O)=O)=C2CSC[C@H](C(N(C)C)=O)NC3=O)=C1,12,1,0,1,C1=CCSCCNCCCOC1,Cc1ccc(-c2cccc3c2CSCC(C)NC(=O)CCOC3=O)cc1O,0.25,0.25
73,74,FC1=C(C(O)=O)C=CC(C2=CC=CC(C(OC[C@H]3NC([C@@H]4CCCN4C(C)=O)=O)=O)=C2CSC[C@H](C(N(C)C)=O)NC3=O)=C1,12,1,0,1,C1=CCSCCNCCCOC1,Cc1ccc(-c2cccc3c2CSCC(C)NC(=O)CCOC3=O)cc1F,0.25,0.25
74,75,O=C1N[C@@H](C(N(C)C)=O)CSCC(C(C2=CC([N+]([O-])=O)=C(C(O)=O)C=C2)=CC=C3)=C3C(OC[C@H]1NC([C@@H]4CCCN4C(C)=O)=O)=O,12,1,0,1,C1=CCSCCNCCCOC1,Cc1ccc(-c2cccc3c2CSCC(C)NC(=O)CCOC3=O)cc1,0.25,0.25
75,76,O=C1N[C@@H](C(N(C)C)=O)CSCC(C(C2=CC(C(F)(F)F)=C(C(O)=O)C=C2)=CC=C3)=C3C(OC[C@H]1NC([C@@H]4CCCN4C(C)=O)=O)=O,12,1,0,1,C1=CCSCCNCCCOC1,Cc1ccc(-c2cccc3c2CSCC(C)NC(=O)CCOC3=O)cc1,0.25,0.25
76,77,CC1=C(C(O)=O)C(C)=CC(C2=CC=CC(C(OC[C@H]3NC([C@@H]4CCCN4C(C)=O)=O)=O)=C2CSC[C@H](C(N(C)C)=O)NC3=O)=C1,12,1,0,1,C1=CCSCCNCCCOC1,Cc1ccc(-c2cccc3c2CSCC(C)NC(=O)CCOC3=O)cc1C,0.25,0.25
77,78,FC1=C(C(O)=O)C(F)=CC(C2=CC=CC(C(OC[C@H]3NC([C@@H]4CCCN4C(C)=O)=O)=O)=C2CSC[C@H](C(N(C)C)=O)NC3=O)=C1,12,1,0,1,C1=CCSCCNCCCOC1,Cc1ccc(-c2cccc3c2CSCC(C)NC(=O)CCOC3=O)cc1F,0.25,0.25
78,S1,OCCC(N1CCC[C@H]1C(N[C@@H]2COC(C3=C(C=CC=C3)CSC[C@H](C(N(C)C)=O)NC2=O)=O)=O)=O,12,1,0,1,C1=CCSCCNCCCOC1,CC1CSCc2ccccc2C(=O)OCCC(=O)N1,0.25,0.25
79,S2,OCCCC(N1CCC[C@H]1C(N[C@@H]2COC(C3=C(C=CC=C3)CSC[C@H](C(N(C)C)=O)NC2=O)=O)=O)=O,12,1,0,1,C1=CCSCCNCCCOC1,CC1CSCc2ccccc2C(=O)OCCC(=O)N1,0.25,0.25
80,S3,O=C(OC)CCC(N1CCC[C@H]1C(N[C@@H]2COC(C3=C(C=CC=C3)CSC[C@H](C(N(C)C)=O)NC2=O)=O)=O)=O,12,1,0,1,C1=CCSCCNCCCOC1,CC1CSCc2ccccc2C(=O)OCCC(=O)N1,0.25,0.25
81,S4,O=C1N[C@@H](C(N(C)C)=O)CSCC(C=CC=C2)=C2C(OC[C@H]1NC([C@@H]3CCCN3C(CCC(N)=O)=O)=O)=O,12,1,0,1,C1=CCSCCNCCCOC1,CC1CSCc2ccccc2C(=O)OCCC(=O)N1,0.25,0.25
82,S5,O=C1N[C@@H](C(N(C)C)=O)CSCC(C=CC=C2)=C2C(OC[C@H]1NC([C@@H]3CCCN3C(CCC(N(C)C)=O)=O)=O)=O,12,1,0,1,C1=CCSCCNCCCOC1,CC1CSCc2ccccc2C(=O)OCCC(=O)N1,0.25,0.25
83,S6,O=C1C(C(N2CCC[C@H]2C(N[C@@H]3COC(C4=C(C=CC=C4)CSC[C@H](C(N(C)C)=O)NC3=O)=O)=O)=O)=CC=CN1,12,1,0,1,C1=CCSCCNCCCOC1,CC1CSCc2ccccc2C(=O)OCCC(=O)N1,0.25,0.25
84,S7,O=C1N[C@@H](C(N(C)C)=O)CSCC(C=CC=C2)=C2C(OC[C@H]1NC([C@@H]3CCCN3C(C4=CC=CN(C)C4=O)=O)=O)=O,12,1,0,1,C1=CCSCCNCCCOC1,CC1CSCc2ccccc2C(=O)OCCC(=O)N1,0.25,0.25
85,S8,O=S(NC1=C(C(N2CCC[C@H]2C(N[C@@H]3COC(C4=C(C=CC=C4)CSC[C@H](C(N(C)C)=O)NC3=O)=O)=O)=O)C=CC=C1)(C)=O,12,1,0,1,C1=CCSCCNCCCOC1,CC1CSCc2ccccc2C(=O)OCCC(=O)N1,0.25,0.25
86,S9,O=C1N[C@@H](C(N(C)C)=O)CSCC(C=CC=C2)=C2C(OC[C@H]1NC([C@@H]3CCCN3C(C(C=CC=C4)=C4OS(=O)(C)=O)=O)=O)=O,12,1,0,1,C1=CCSCCNCCCOC1,CC1CSCc2ccccc2C(=O)OCCC(=O)N1,0.25,0.25
87,S10,BrC1=CSN=C1C(N2CCC[C@H]2C(N[C@@H]3COC(C4=C(C=CC=C4)CSC[C@H](C(N(C)C)=O)NC3=O)=O)=O)=O,12,1,0,1,C1=CCSCCNCCCOC1,CC1CSCc2ccccc2C(=O)OCCC(=O)N1,0.25,0.25
88,S11,O=C(C)N(CC(N1CCC[C@H]1C(N[C@@H]2COC(C3=C(C=CC=C3)CSC[C@H](C(N(C)C)=O)NC2=O)=O)=O)=O)C4=CC=CC=C4,12,1,0,1,C1=CCSCCNCCCOC1,CC1CSCc2ccccc2C(=O)OCCC(=O)N1,0.25,0.25
89,S12,O=C1N[C@@H](C(N(C)C)=O)CSCC(C=CC=C2)=C2C(OC[C@H]1NC([C@@H]3CCCN3C(C4=CC=CC5=C4N=CN5)=O)=O)=O,12,1,0,1,C1=CCSCCNCCCOC1,CC1CSCc2ccccc2C(=O)OCCC(=O)N1,0.25,0.25
90,S13,O=C1N[C@@H](C(N(C)C)=O)CSCC(C=CC=C2)=C2C(OC[C@H]1NC([C@@H]3CCCN3C(CC4=CC(C=CC=C5)=C5S4)=O)=O)=O,12,1,0,1,C1=CCSCCNCCCOC1,CC1CSCc2ccccc2C(=O)OCCC(=O)N1,0.25,0.25
91,S14,O=C1N[C@@H](C(N(C)C)=O)CSCC(C=CC=C2)=C2C(OC[C@H]1NC([C@@H]3CCCN3C(CCC4=CC=C5C=CC=CC5=N4)=O)=O)=O,12,1,0,1,C1=CCSCCNCCCOC1,CC1CSCc2ccccc2C(=O)OCCC(=O)N1,0.25,0.25
92,S15,O=C1C2=CC=CC=C2C=CN1CC(N3CCC[C@H]3C(N[C@@H]4COC(C5=C(C=CC=C5)CSC[C@H](C(N(C)C)=O)NC4=O)=O)=O)=O,12,1,0,1,C1=CCSCCNCCCOC1,CC1CSCc2ccccc2C(=O)OCCC(=O)N1,0.25,0.25
93,S16,O=C1N[C@@H](C(N(C)C)=O)CSCC(C=CC=C2)=C2C(OC[C@H]1NC([C@@H]3CCCN3C(CC4=CC=CN=C4)=O)=O)=O,12,1,0,1,C1=CCSCCNCCCOC1,CC1CSCc2ccccc2C(=O)OCCC(=O)N1,0.25,0.25
94,S17,CC(N1CC(N2CCC[C@H]2C(N[C@@H]3COC(C4=C(C=CC=C4)CSC[C@H](C(N(C)C)=O)NC3=O)=O)=O)=O)=NC5=C(C(C6=CC=CS6)=CS5)C1=O,12,1,0,1,C1=CCSCCNCCCOC1,CC1CSCc2ccccc2C(=O)OCCC(=O)N1,0.25,0.25
95,S18,O=C1N(C)C=C(C(N2CCC[C@H]2C(N[C@@H]3COC(C4=C(C=CC=C4)CSC[C@H](C(N(C)C)=O)NC3=O)=O)=O)=O)C5=C1C=CC=C5,12,1,0,1,C1=CCSCCNCCCOC1,CC1CSCc2ccccc2C(=O)OCCC(=O)N1,0.25,0.25
96,S19,CC1=C(C(N2CCC[C@H]2C(N[C@@H]3COC(C4=C(C=CC=C4)CSC[C@H](C(N(C)C)=O)NC3=O)=O)=O)=O)C=C(S(=O)(NC)=O)C=C1,12,1,0,1,C1=CCSCCNCCCOC1,CC1CSCc2ccccc2C(=O)OCCC(=O)N1,0.25,0.25
97,S20,O=S1(N(CC(N2CCC[C@H]2C(N[C@@H]3COC(C4=C(C=CC=C4)CSC[C@H](C(N(C)C)=O)NC3=O)=O)=O)=O)C5=CC=CC=C5N1C6=CC=CC=C6)=O,12,1,0,1,C1=CCSCCNCCCOC1,CC1CSCc2ccccc2C(=O)OCCC(=O)N1,0.25,0.25
98,S21,O=C1N[C@@H](C(N(C)C)=O)CSCC(C=CC=C2)=C2C(OC[C@H]1NC([C@@H]3CCCN3C(C4=C(N5N=NN=C5)C=CC=C4)=O)=O)=O,12,1,0,1,C1=CCSCCNCCCOC1,CC1CSCc2ccccc2C(=O)OCCC(=O)N1,0.25,0.25
99,S22,OC(C1=CC(C(N2CCC[C@H]2C(N[C@@H]3COC(C4=C(C=CC=C4)CSC[C@H](C(N(C)C)=O)NC3=O)=O)=O)=O)=CC=C1)=O,12,1,0,1,C1=CCSCCNCCCOC1,CC1CSCc2ccccc2C(=O)OCCC(=O)N1,0.25,0.25
100,S23,O=S(N(C)C1=C(C(N2CCC[C@H]2C(N[C@@H]3COC(C4=C(C=CC=C4)CSC[C@H](C(N(C)C)=O)NC3=O)=O)=O)=O)C=CC=C1)(C)=O,12,1,0,1,C1=CCSCCNCCCOC1,CC1CSCc2ccccc2C(=O)OCCC(=O)N1,0.25,0.25
101,S24,O=C(C)NC1=C(C(N2CCC[C@H]2C(N[C@@H]3COC(C4=C(C=CC=C4)CSC[C@H](C(N(C)C)=O)NC3=O)=O)=O)=O)C=CC=C1,12,1,0,1,C1=CCSCCNCCCOC1,CC1CSCc2ccccc2C(=O)OCCC(=O)N1,0.25,0.25
102,paclitaxel,CC1=C2[C@H](C(=O)[C@@]3([C@H](C[C@@H]4[C@]([C@H]3[C@@H]([C@@](C2(C)C)(C[C@@H]1OC(=O)[C@@H]([C@H](C5=CC=CC=C5)NC(=O)C6=CC=CC=C6)O)O)OC(=O)C7=CC=CC=C7)(CO4)OC(=O)C)O)C)OC(=O)C  ,8,0,0,0,C1CCCCCCC1,CC=C1CC(=O)C2CCCC(C)C2CC(C)C1C,0.0,0.0
103,rifabutin,C[C@H]1/C=C/C=C(\C(=O)NC2=C(C3=C(C4=C(C(=C3O)C)O[C@@](C4=O)(O/C=C/[C@@H]([C@H]([C@H]([C@@H]([C@@H]([C@@H]([C@H]1O)C)O)C)OC(=O)C)C)OC)C)C5=NC6(CCN(CC6)CC(C)C)N=C25)O)/C  ,24,1,0,1,C1=CCCCCCCCCC=COCCC=CCC=CNCC=C1,CC1C=CC=CC(=O)NC2=Cc3ccc4c(c3CC2)C(=O)C(OC=CCCCCCCC1)O4,0.125,0.125
104,tacrolimus,C[C@@H]1C[C@@H]([C@@H]2[C@H](C[C@H]([C@@](O2)(C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@@H]([C@@H]([C@H](CC(=O)[C@@H](/C=C(/C1)\C)CC=C)O)C)/C(=C/[C@@H]4CC[C@H]([C@@H](C4)OC)O)/C)O)C)OC)OC  ,21,0,1,1,C1=CCCCCCOCCCNCCOCCCCCC1,CC1CC=CCC(=O)CCCCOC(=O)C2CCCCN2C(=O)C(=O)C2CCCC(CC1)O2,0.0,0.14285714285714285
105,dirithromycin,CC[C@@H]1[C@@]([C@H]2[C@H]([C@H]([C@@H](C[C@@]([C@@H]([C@H]([C@@H]([C@H](C(=O)O1)C)O[C@H]3C[C@@]([C@H]([C@@H](O3)C)O)(C)OC)C)O[C@H]4[C@@H]([C@H](C[C@H](O4)C)N(C)C)O)(C)O)C)N[C@H](O2)COCCOC)C)(C)O  ,14,0,0,0,C1CCCCCCOCCCCCC1,CCCC(O)OC1CC(OC2CC(C)CCO2)CC(=O)OC(C)C(C)C(O)CCCCC1C,0.0,0.0
106,ivermectin,CC[C@H](C)[C@@H]1[C@H](CC[C@@]2(O1)C[C@@H]3C[C@H](O2)C/C=C(/[C@H]([C@H](/C=C/C=C/4\CO[C@H]5[C@@]4([C@@H](C=C([C@H]5O)C)C(=O)O3)O)C)O[C@H]6C[C@@H]([C@H]([C@@H](O6)C)O[C@H]7C[C@@H]([C@H]([C@@H](O7)C)O)OC)OC)\C)C  ,16,0,0,0,C1=CCCC=CCCCCOCCCC=C1,CC1CCCC2(CC3CC(CC=CC(OC4CCC(OC5CCCCO5)CO4)CC=CC=C4COC5CC=CC(C(=O)O3)C45)O2)O1,0.0,0.0
107,sirolimus,C[C@@H]1CC[C@H]2C[C@@H](/C(=C/C=C/C=C/[C@H](C[C@H](C(=O)[C@@H]([C@@H](/C(=C/[C@H](C(=O)C[C@H](OC(=O)[C@@H]3CCCCN3C(=O)C(=O)[C@@]1(O2)O)[C@H](C)C[C@@H]4CC[C@H]([C@@H](C4)OC)O)C)/C)O)OC)C)C)/C)OC  ,29,0,1,1,C1=CC=CCCCOCCCNCCOCCCCC=CCCCCCCC=C1,CC1CCC2CCC=CC=CC=CCCCC(=O)CCC=CCC(=O)CCOC(=O)C3CCCCN3C(=O)C(=O)C1O2,0.0,0.10344827586206896
108,atazanavir,CC(C)(C)[C@@H](C(=O)N[C@@H](CC1=CC=CC=C1)[C@H](CN(CC2=CC=C(C=C2)C3=CC=CC=N3)NC(=O)[C@H](C(C)(C)C)NC(=O)OC)O)NC(=O)OC ,6,0,0,0,c1ccccc1,CC=CC=Cc1ccc(C)cc1,0.0,0.0
109,everolimus,C[C@@H]1CC[C@H]2C[C@@H](/C(=C/C=C/C=C/[C@H](C[C@H](C(=O)[C@@H]([C@@H](/C(=C/[C@H](C(=O)C[C@H](OC(=O)[C@@H]3CCCCN3C(=O)C(=O)[C@@]1(O2)O)[C@H](C)C[C@@H]4CC[C@H]([C@@H](C4)OC)OCCO)C)/C)O)OC)C)C)/C)OC  ,29,0,1,1,C1=CC=CCCCOCCCNCCOCCCCC=CCCCCCCC=C1,CC1CCC2CCC=CC=CC=CCCCC(=O)CCC=CCC(=O)CCOC(=O)C3CCCCN3C(=O)C(=O)C1O2,0.0,0.10344827586206896
110,simeprevir,CC1=C(C=CC2=C1N=C(C=C2O[C@@H]3C[C@@H]4[C@@H](C3)C(=O)N(CCCC/C=C\[C@@H]5C[C@]5(NC4=O)C(=O)NS(=O)(=O)C6CC6)C)C7=NC(=CS7)C(C)C)OC  ,14,2,0,2,C1=CCCNCCCCNCCCC1,CCC=C(OC1CC2C(=O)NCCCCC=CC3CC3(C)NC(=O)C2C1)c1cccc(C)c1,0.42857142857142855,0.42857142857142855
111,vaniprevir,CC[C@@H]1C[C@@]1(C(=O)NS(=O)(=O)C2CC2)NC(=O)[C@@H]3C[C@@H]4CN3C(=O)[C@@H](NC(=O)OCC(CCCCC5=C6CN(CC6=CC=C5)C(=O)O4)(C)C)C(C)(C)C  ,20,1,2,3,C1=CCNCOCCNCCNCOCCCCCC1,CC1CCCCc2cccc3c2CN(C3)C(=O)OC2CC(C)N(C2)C(=O)C(C)NC(=O)OC1,0.15,0.45
112,paritaprevir,CC1=CN=C(C=N1)C(=O)N[C@H]2CCCCC/C=C\[C@@H]3C[C@]3(NC(=O)[C@@H]4C[C@H](CN4C2=O)OC5=NC6=CC=CC=C6C7=CC=CC=C75)C(=O)NS(=O)(=O)C8CC8 ,15,1,1,2,C1=CCCNCCNCCCCCCC1,CC12CC1C=CCCCCCCC(=O)N1CC(OCc3ccccc3-c3ccccc3)CC1C(=O)N2,0.2,0.4
113,grazoprevir,CC(C)(C)[C@H]1C(=O)N2C[C@@H](C[C@H]2C(=O)N[C@@]3(C[C@H]3C=C)C(=O)NS(=O)(=O)C4CC4)OC5=NC6=C(C=CC(=C6)OC)N=C5CCCCC[C@@H]7C[C@H]7OC(=O)N1,18,2,0,2,C1CCCCOCCNCCNCOCCCC1,CC1CNC(=O)C(C)NC(=O)OC2CC2CCCCCCCO1,0.3333333333333333,0.3333333333333333
